	Prepared by Financial Controller Andrew Thai
	2017-2018 Executive Budget
	Presented by President Lesly Figueroa
	Associated Students	Passed by A.S. Senate on 6/7/2017
	Sr. AVP Concerts and Events (1 x $150/wk x 35wk)	$5,250.00
	Sr. AVP Student Organizations (1 x $150/wk x 35wk)	$5,250.00
	Sr. AVP Student Advocacy (1 x $150/wk x 35wk)	$5,250.00
	AVP Academic Affairs (1 x $100/wk x 32wk)	$3,200.00
	AVP Enterprises and Services (1 x $100/wk x 32wk)	$3,200.00
	AVP Equity, Diversity, and Inclusion (1 x $100/wk x 32wk)	$3,200.00
	AVP Spirit and Athletics (1 x $100/wk x 32wk)	$3,200.00
	AVP College Affairs (1 x $100/wk x 32wk)	$3,200.00
	AVP Local Affairs (1 x $100/wk x 32wk)	$3,200.00
	AVP Food and Housing Resources (1 x $100/wk x 32wk)	$3,200.00
	AVP Health and Wellness (1 x $100/wk x 32wk)	$3,200.00
	AVP Environmental Justice Affairs (1 x $100/wk x 32wk)	$3,200.00
	Senate Stipends			$18,000.00
	Senator Stipends (30 x $20/wk x 30wk)	$18,000.00
	Office Staff Stipends			$32,960.00
	ASCE Stipends		$19,460.00
	Festivals Director (1 x $70/wk x 35wk)	$2,450.00
	Bear Garden Director (1 x $60/wk x 35wk)	$2,100.00
	Special Events Director (1 x 70/wk x 35wk)	$2,450.00
	Marketing Director (1 x $60/wk x 35wk)	$2,100.00
	Festivals Coordinators (2 x 60/wk x 28wk)	$3,360.00
	Special Events Coordinators (2 x $50/wk x 28wk)	$2,800.00
	Bear Garden Coordinator (1 x $50/wk x 28wk)	$1,400.00
	Media Liaison (2 x $50/wk x 28wk)	$2,800.00
	VP External Stipends		$3,600.00
	Chief of Staff (1 x $30/wk x 30wk)	$900.00
	Legislative Liaison (1 x $45/wk x 30wk)	$1,350.00
	Campus Organizing Director (1 x $45/wk x 30wk)	$1,350.00
	VP Campus Stipends		$3,000.00
	A.S. Fellowship Directors (2 x $50/wk x 30wk)	$3,000.00
	Sr. AVP Student Advocacy Stipends		$2,550.00
	Senior Advocate (1 x $35/wk x 30wk)	$1,050.00
	Outreach Coordinator (1 x $30/wk x 30wk)	$900.00
	President: Chief of Staff (1 x $20/wk x 30wk)	$600.00
	Financial Controller: Chief of Staff (1 x $60 x 25wk)	$1,500.00
	Financial Controller: Finance Analyst (1 x $40 x 25wk)	$1,000.00
	Student Organizations: Chief of Staff (1 x $ 30 x 25)	$750.00
	Student Organizations: Special Projects Manager (1 x $20 x 25)	$500.00
	Financial Controller: Project Director (1 x $50 x 25)	$1,250.00
	Services and Commissions Stipends			$20,500.00
	Triton Television (TTV) Stipends		$12,300.00
	Station Managers (2 x $80/wk x 30wk)	$4,800.00
	Intern Program Coordinator (1 x $50/wk x 30wk)	$1,500.00
	Internal Relations Administrator (1 x $50/wk x 30wk)	$1,500.00
	Internal Project Manager(1 x $50/wk x 30wk)	$1,500.00
	External Project Manager(1 x $50/wk x 30wk)	$1,500.00
	External Relations Administrator (1 x $50/wk x 30wk)	$1,500.00
	ACTA Stipends		$3,600.00
	President (1 x $80/wk x 30wk)	$2,400.00
	Vice President (1 x $40/wk x 30wk)	$1,200.00
	ACCB Stipends		$3,600.00
	Chair (1 x $80/wk x 30wk)	$2,400.00
	Vice Chair (1 x $40/wk x 30wk)	$1,200.00
	SOVAC: Executive Director (1 x $40/wk x 25wk)	$1,000.00
	Other Stipends			$570.00
	Advocate General (1 x $15/wk x 30wk)	$450.00
	MOVES Director (1 x $40/wk x 3wk)	$120.00
	Elections Manager (1 x $50/wk x 8wk)	$0.00
	Stipend Benefits (1.8%)			$2,704.14
ALLOCATION OF EXPENDABLE FUNDS AFTER CAREER EMPLOYEES				$1,644,814.71
REMAINING FUNDS AFTER ALLOCATIONS (SURPLUS/DEFICIT)				$785,591.13
ALLOCATION DIFFERENCE (COMPARED TO FUNDS AFTER CAREER EMPLOYEEES)				32.32%
* (Salary + Sum of Benefits + Sum of General Liability + Sum of NGN)
